SALE TYPE,SOLD YEAR,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,2018,PALO ALTO,CA,94304,4300000,5,3,PALO ALTO,3301,28500,1971,,1303,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3136-Alexis-Dr-94304/home/641183,MLSListings,ML81700173,N,Y,37.3718499,-122.1743833
PAST SALE,2018,LOS ALTOS HILLS,CA,94022,4850000,5,4,LOS ALTOS HILLS,4253,43560,1963,,1140,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/25900-Springhill-Dr-94022/home/636394,MLSListings,ML81694447,N,Y,37.3929519,-122.1322455
PAST SALE,2018,PALO ALTO,CA,94301,8500000,4,4.5,PALO ALTO,5675,21955,1968,,1498,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1441-Edgewood-Dr-94301/home/1525799,MLSListings,ML81695423,N,Y,37.4548418,-122.1396762
PAST SALE,2018,PALO ALTO,CA,94301,5020000,6,5.5,PALO ALTO,3995,6469,1904,,1257,,Sold,,,https://www.redfin.com/CA/Palo-Alto/281-Addison-Ave-94301/home/1747993,MLSListings,ML81711360,N,Y,37.4419669,-122.1556894
PAST SALE,2018,PALO ALTO,CA,94303,6750000,5,4.5,PALO ALTO,4110,12722,2012,,1642,,Sold,,,https://www.redfin.com/CA/Palo-Alto/745-Garland-Dr-94303/home/1210666,MLSListings,ML81715261,N,Y,37.4377524,-122.1335764
PAST SALE,2018,PALO ALTO,CA,94306,3600000,5,3.5,PALO ALTO,3446,6534,2001,,1045,,Sold,,,https://www.redfin.com/CA/Palo-Alto/518-Georgia-Ave-94306/home/1030981,MLSListings,ML81728064,N,Y,37.411147,-122.1275649
PAST SALE,2018,MENLO PARK,CA,94025,5700000,4,4.5,MENLO PARK,5315,11934,2007,,1072,,Sold,,,https://www.redfin.com/CA/Menlo-Park/1715-Bay-Laurel-Dr-94025/home/888933,MLSListings,ML81656546,N,Y,37.4338255,-122.1868218
PAST SALE,2018,PALO ALTO,CA,94301,7199500,4,4.5,PALO ALTO,4686,14210,1955,,1536,,Sold,,,https://www.redfin.com/CA/Palo-Alto/438-Chaucer-St-94301/home/542227,MLSListings,ML81688611,N,Y,37.4558375,-122.1529394
PAST SALE,2018,PALO ALTO,CA,94301,4500000,5,4,PALO ALTO,3487,7500,2002,,1291,,Sold,,,https://www.redfin.com/CA/Palo-Alto/152-Melville-Ave-94301/home/589759,MLSListings,ML81698819,N,Y,37.4378291,-122.1530281
PAST SALE,2018,PALO ALTO,CA,94301,7000000,6,4,PALO ALTO,4430,8392,1997,,1580,,Sold,,,https://www.redfin.com/CA/Palo-Alto/333-Santa-Rita-Ave-94301/home/591607,MLSListings,ML81694450,N,Y,37.4342536,-122.1417168
